01_latin_order,02_latin_tokens,03_eng_direct_tokens,1656_en,1656_order,1656_order_diff,1743_en,1743_order,1743_order_diff,1872_en,1872_order,1872_order_diff,1886_en,1886_order,1886_order_diff,1916_en,1916_order,1916_order_diff,1936_en,1936_order,1936_order_diff
1.0,aeneadum,Aenea,romes,1.0,0.0,mother,2.0,-1.0,mother,2.0,-1.0,mother,2.0,-1.0,mother,2.0,-1.0,mother,2.0,-1.0
2.0,genetrix,mother,parent,2.0,0.0,of,,,of,,,of,,,of,,,of,,
3.0,hominum,human,venus,7.0,-4.0,rome,1.0,2.0,romans,1.0,2.0,the,,,rome,1.0,2.0,aeneas’s,1.0,2.0
4.0,divomque,godly,joy,5.0,-1.0,delight,5.0,-1.0,joy,5.0,-1.0,aeneadae,1.0,3.0,delight,5.0,-1.0,sons,,
5.0,voluptas,delight,of,,,of,,,of,,,darling,5.0,0.0,of,,,joy,5.0,0.0
6.0,alma,nourishing,gods,4.0,2.0,men,3.0,3.0,men,3.0,3.0,of,,,gods,4.0,2.0,of,,
7.0,venus,Venus,above,,,and,,,and,,,men,3.0,4.0,and,,,men,3.0,4.0
8.0,caeli,celestial,and,,,gods,4.0,4.0,gods,4.0,4.0,and,,,men,3.0,5.0,and,,
9.0,subter,underneath,men,3.0,6.0,sweet,6.0,3.0,benignant,6.0,3.0,gods,4.0,5.0,dear,6.0,3.0,gods,4.0,5.0
10.0,labentia,to glide,who,,,venus,7.0,3.0,venus,7.0,3.0,increase-giving,6.0,4.0,venus,7.0,3.0,venus,7.0,3.0
11.0,signa,mark,under,9.0,2.0,who,12.0,-1.0,thou,,,venus,7.0,4.0,that,12.0,-1.0,the,,
12.0,quae,who,those,,,with,,,whose,,,who,12.0,0.0,beneath,9.0,3.0,life-giver,6.0,6.0
13.0,mare,sea,bright,,,vital,,,presence,,,beneath,9.0,4.0,the,,,who,12.0,1.0
14.0,navigerum,Ship-bearing,signs,11.0,3.0,power,,,fills,,,the,,,gliding,10.0,4.0,beneath,9.0,5.0
15.0,quae,who,that,,,dost,,,all,,,gliding,10.0,5.0,stars,8.0,7.0,the,,
16.0,terras,earth,move,10.0,6.0,fill,,,things,,,signs,11.0,5.0,makest,,,gliding,10.0,6.0
17.0,frugiferentis,fruitbearing,in,,,the,,,beneath,9.0,8.0,of,,,to,,,stars,11.0,6.0
18.0,concelebras,celebrate,heaven,8.0,10.0,sea,13.0,5.0,the,,,heaven,8.0,10.0,teem,,,of,,
