01_latin_order,02_latin_tokens,03_eng_direct_tokens,1656_en,1743_en,1872_en,1886_en,1916_en,1936_en,full_list,nr_of_words,uniques
42.0,daedala,skilful / Daedalus,th'inamel'd,art,plastic,manifold,daedal,quaint,"[""th'inamel'd"", 'art', 'plastic', 'manifold', 'daedal', 'quaint']",6.0,6.0
59.0,patefactast,"to lay open, open",brings,leads,unlocks,disclosed,comes,revealed,"['brings', 'leads', 'unlocks', 'disclosed', 'comes', 'revealed']",6.0,6.0
113.0,incutiens,strike,infuse,inspiring,infusing,striking,kindling,strike,"['infuse', 'inspiring', 'infusing', 'striking', 'kindling', 'strike']",6.0,6.0
129.0,gubernas,govern,reign,govern,rulest,mistress,guidest,pilot,"['reign', 'govern', 'rulest', 'mistress', 'guidest', 'pilot']",6.0,6.0
219.0,suspiciens,looking up,bending,back,looking,upturned,backward,pillowing,"['bending', 'back', 'looking', 'upturned', 'backward', 'pillowing']",6.0,6.0
250.0,loquellas,"speech, words, chatter",accents,eloquence,words,discourse,syllables,petition,"['accents', 'eloquence', 'words', 'discourse', 'syllables', 'petition']",6.0,6.0
252.0,petens,"seek, look for",require,implore,Imploring,asking,win,seeking,"['require', 'implore', 'Imploring', 'asking', 'win', 'seeking']",6.0,6.0
260.0,agere,"to act, lead, move",philosophize,write,pursue,think,attend,set,"['philosophize', 'write', 'pursue', 'think', 'attend', 'set']",6.0,6.0
263.0,tempore,times,whilst,times,hours,day,season,time,"['whilst', 'times', 'hours', 'day', 'season', 'time']",6.0,6.0
6.0,alma,nourishing,,sweet,benignant,increase-giving,dear,life-giver,"[0, 'sweet', 'benignant', 'increase-giving', 'dear', 'life-giver']",5.0,5.0
26.0,visitque,"to look, view",beholding,view,behold,beholds,,look,"['beholding', 'view', 'behold', 'beholds', 0, 'look']",5.0,5.0
41.0,suavis,"sweet, agreeable, grateful",sweet,sweetest,,sweet-smelling,scented,sweet-scented,"['sweet', 'sweetest', 0, 'sweet-smelling', 'scented', 'sweet-scented']",5.0,5.0
66.0,aura,"wind, air (in motion), a breeze, wind",,winds,breathe,breeze,blow,wind,"[0, 'winds', 'breathe', 'breeze', 'blow', 'wind']",5.0,5.0
91.0,capta,"captivated, taken",,pleased,captive,prisoner,seized,enchained,"[0, 'pleased', 'captive', 'prisoner', 'seized', 'enchained']",5.0,5.0
106.0,rapacis,"rapid, current, rapacious",rapid,swiftest,,sweeping,swift,tearing,"['rapid', 'swiftest', 0, 'sweeping', 'swift', 'tearing']",5.0,5.0
118.0,efficis, succeed (you),,drives,causest,constrainest,bringest,makest,"[0, 'drives', 'causest', 'constrainest', 'bringest', 'makest']",5.0,5.0
123.0,propagent,"propagate, teem,",renews,propagate,renewal,continue,,renew,"['renews', 'propagate', 'renewal', 'continue', 0, 'renew']",5.0,5.0
138.0,exoritur,arise,,rise,arise,rises,risen,comes,"[0, 'rise', 'arise', 'rises', 'risen', 'comes']",5.0,5.0
233.0,pendet,"hang, suspend",plac'd,hangs,suspends,reclines,,lies,"[""plac'd"", 'hangs', 'suspends', 'reclines', 0, 'lies']",5.0,5.0
241.0,recubantem,reclining,,cling,recumbent,reposing,reclined,leans,"[0, 'cling', 'recumbent', 'reposing', 'reclined', 'leans']",5.0,5.0
1.0,aeneadum,Aenea,romes,rome,romans,aeneadae,rome,aeneas’s,"['romes', 'rome', 'romans', 'aeneadae', 'rome', 'aeneas’s']",6.0,5.0
44.0,summittit,puts forth,submit,affords,spreads,puts,bears,puts,"['submit', 'affords', 'spreads', 'puts', 'bears', 'puts']",6.0,5.0
49.0,ponti,the sea / bridge,seas,sea’s,ocean,sea,deep,ocean,"['seas', 'sea’s', 'ocean', 'sea', 'deep', 'ocean']",6.0,5.0
76.0,perculsae,"throw down, overturn, ",touch,strikes,smit,smitten,smit,thrilled,"['touch', 'strikes', 'smit', 'smitten', 'smit', 'thrilled']",6.0,5.0
85.0,laeta,"joyful, cheerful, glad,",flowry,cheerful,glad,glad,happy,fat,"['flowry', 'cheerful', 'glad', 'glad', 'happy', 'fat']",6.0,5.0
108.0,domos,houses,roosts,forests,home,homes,homes,haunts,"['roosts', 'forests', 'home', 'homes', 'homes', 'haunts']",6.0,5.0
114.0,blandum,"soothing, seductive",soft,tender,gentle,fond,lure,fond,"['soft', 'tender', 'gentle', 'fond', 'lure', 'fond']",6.0,5.0
141.0,laetum,happy,frolick,gay,joyous,glad,joyful,glad,"['frolick', 'gay', 'joyous', 'glad', 'joyful', 'glad']",6.0,5.0
146.0,sociam,"be with, friend, associate,",ayde,companion,companion,helpmate,co-partner,helper,"['ayde', 'companion', 'companion', 'helpmate', 'co-partner', 'helper']",6.0,5.0
169.0,excellere,excell in,excell,grace,excel,peer,peerless,grace,"['excell', 'grace', 'excel', 'peer', 'peerless', 'grace']",6.0,5.0
206.0,in,in,on,in,upon,into,to,upon,"['on', 'in', 'upon', 'into', 'to', 'upon']",6.0,5.0
220.0,tereti,round,round,long,rounded,shapely,full,shapely,"['round', 'long', 'rounded', 'shapely', 'full', 'shapely']",6.0,5.0
264.0,iniquo,"uneven, unjust, evil, wicked",afflicted,sad,adverse,trouble,troublous,trouble,"['afflicted', 'sad', 'adverse', 'trouble', 'troublous', 'trouble']",6.0,5.0
275.0,communi,"common, societal, of society",publike,common,common,general,civic,state,"['publike', 'common', 'common', 'general', 'civic', 'state']",6.0,5.0
277.0,saluti,"welfare, health",peace,good,weal,weal,cause,fortunes,"['peace', 'good', 'weal', 'weal', 'cause', 'fortunes']",6.0,5.0
50.0,placatumque,"to quiet, soothe, appease (sg, perf)",,smooth,placid,propitiated,serene,,"[0, 'smooth', 'placid', 'propitiated', 'serene', 0]",4.0,4.0
14.0,navigerum,Ship-bearing,ship-bearing,bearing,ship-bearing,ship-carrying,,carries,"['ship-bearing', 'bearing', 'ship-bearing', 'ship-carrying', 0, 'carries']",5.0,4.0
27.0,exortum,"to come out, rise, appear",,rise,rise,rises,risen,comes,"[0, 'rise', 'rise', 'rises', 'risen', 'comes']",5.0,4.0
48.0,aequora,"even surface, level (acc)",smooth,,plains,levels,waters,levels,"['smooth', 0, 'plains', 'levels', 'waters', 'levels']",5.0,4.0
51.0,nitet,to shine (3rd sg),,shines,shine,shines,glow,gleams,"[0, 'shines', 'shine', 'shines', 'glow', 'gleams']",5.0,4.0
63.0,reserata,to take by storm,gales,unlock’d,fecundating,blowing,gales,,"['gales', 'unlock’d', 'fecundating', 'blowing', 'gales', 0]",5.0,4.0
65.0,genitabilis,of (adj sg masc gen),genial,genial,,birth-favoring,procreant,teeming,"['genial', 'genial', 0, 'birth-favoring', 'procreant', 'teeming']",5.0,4.0
68.0,aeriae,airy (adj),aery,airy,aerial,air,air,,"['aery', 'airy', 'aerial', 'air', 'air', 0]",5.0,4.0
77.0,corda,the heart,brest,souls,,heart,heart,hearts,"['brest', 'souls', 0, 'heart', 'heart', 'hearts']",5.0,4.0
96.0,quo,where,,where,wheresoe'er,whither,whithersoever,whither,"[0, 'where', ""wheresoe'er"", 'whither', 'whithersoever', 'whither']",5.0,4.0
176.0,diva,goddess,,deity,goddess,lady,divine,goddess,"[0, 'deity', 'goddess', 'lady', 'divine', 'goddess']",5.0,4.0
177.0,leporem,charm,,beauty,grace,charm,charm,loveliness,"[0, 'beauty', 'grace', 'charm', 'charm', 'loveliness']",5.0,4.0
181.0,fera,beast,,bloody,fierce,savage,savage,wild,"[0, 'bloody', 'fierce', 'savage', 'savage', 'wild']",5.0,4.0
